ID,SID,Gender,Vowel,Condition,Rating
2,m2,male,i,anchor,60
2,m2,male,i,estimated,38
2,m2,male,i,harmonic,100
2,f6,female,o,estimated,100
2,f6,female,o,harmonic,79
2,f6,female,o,reference,71
2,f6,female,o,synthesized,36
2,f6,female,o,anchor,41
2,m8,male,a,reference,62
2,m8,male,a,anchor,100
2,m8,male,a,estimated,64
2,m8,male,a,synthesized,100
2,m8,male,a,harmonic,53
2,m4,male,i,reference,31
2,m4,male,i,anchor,65
2,m4,male,i,harmonic,20
2,m4,male,i,estimated,38
2,m4,male,i,synthesized,65
2,f4,female,i,estimated,63
2,f4,female,i,synthesized,100
2,f4,female,i,reference,42
2,f4,female,i,harmonic,100
2,f4,female,i,anchor,55
2,f4,female,o,harmonic,70
2,f4,female,o,estimated,87
2,f4,female,o,synthesized,81
2,f4,female,o,anchor,85
2,f4,female,o,reference,48
2,f8,female,o,reference,100
2,f8,female,o,synthesized,100
2,f8,female,o,estimated,100
2,f8,female,o,harmonic,100
2,f8,female,o,anchor,45
2,f8,female,a,estimated,34
2,f8,female,a,reference,43
2,f8,female,a,harmonic,69
2,f8,female,a,synthesized,78
2,f8,female,a,anchor,100
2,f1,female,o,anchor,64
2,f1,female,o,estimated,86
2,f1,female,o,reference,86
2,f1,female,o,synthesized,100
2,f1,female,o,harmonic,100
2,m1,male,i,estimated,61
2,m1,male,i,harmonic,76
2,m1,male,i,reference,80
2,m1,male,i,synthesized,86
2,m1,male,i,anchor,86
2,m2,male,o,reference,75
2,m2,male,o,anchor,36
2,m2,male,o,harmonic,71
2,m2,male,o,synthesized,48
2,m2,male,o,estimated,38
3,f6,female,o,harmonic,79
3,f6,female,o,synthesized,44
3,f6,female,o,reference,100
3,f6,female,o,anchor,23
3,f6,female,o,estimated,43
3,m8,male,a,synthesized,51
3,m8,male,a,reference,100
3,m8,male,a,estimated,42
3,m8,male,a,harmonic,58
3,m8,male,a,anchor,6
3,f6,female,i,harmonic,100
3,f6,female,i,reference,100
3,f6,female,i,estimated,47
3,f6,female,i,anchor,10
3,f6,female,i,synthesized,45
3,m4,male,a,anchor,12
3,m4,male,a,estimated,29
3,m4,male,a,harmonic,47
3,m4,male,a,synthesized,74
3,m4,male,a,reference,100
3,f8,female,a,reference,100
3,f8,female,a,synthesized,15
3,f8,female,a,harmonic,72
3,f8,female,a,estimated,52
3,f8,female,a,anchor,37
3,f1,female,i,harmonic,57
3,f1,female,i,anchor,25
3,f1,female,i,estimated,76
3,f1,female,i,synthesized,41
3,f1,female,i,reference,100
3,f8,female,i,harmonic,85
3,f8,female,i,reference,100
3,f8,female,i,synthesized,55
3,f8,female,i,estimated,47
3,f8,female,i,anchor,25
3,f5,female,o,harmonic,99
3,f5,female,o,estimated,83
3,f5,female,o,anchor,20
3,f5,female,o,reference,72
3,f5,female,o,synthesized,37
3,m2,male,i,anchor,89
3,m2,male,i,estimated,91
3,m2,male,i,reference,57
3,m2,male,i,synthesized,72
3,m2,male,i,harmonic,100
3,f1,female,o,harmonic,61
3,f1,female,o,estimated,61
3,f1,female,o,anchor,18
3,f1,female,o,reference,100
3,f1,female,o,synthesized,61
3,m5,male,i,synthesized,37
3,m5,male,i,estimated,32
3,m5,male,i,anchor,68
3,m5,male,i,harmonic,86
3,m5,male,i,reference,100
3,m4,male,o,reference,100
3,m4,male,o,synthesized,23
3,m4,male,o,anchor,63
