ID,SID,Vowel,Gender,Roughness,Breathiness,Brightness,Naturalness
13,m4,i,male,1,-2,-2,-2
13,m1,o,male,2,-2,-3,-4
13,f4,o,female,1,-3,-2,-2
13,m5,a,male,-2,-2,-3,-4
13,f5,i,female,0,-1,-2,-1
13,f8,a,female,-2,-3,-2,-4
13,f6,a,female,0,-2,-3,-3
13,m8,i,male,-1,-3,-3,-2
13,f8,o,female,1,-3,-3,-4
13,f4,i,female,1,-2,-3,-1
13,f1,i,female,-1,-2,-3,-1
13,m2,o,male,1,-4,-3,-4
13,m1,i,male,1,-2,-3,-2
13,m5,o,male,0,-3,-3,-1
13,m2,a,male,1,-2,-3,-2
13,m8,o,male,-2,-3,-3,-3
13,f1,a,female,-2,-4,-3,-2
13,f5,o,female,-1,-2,-3,-1
13,f1,o,female,0,-3,-3,-1
14,m4,i,male,0,-3,-1,-4
14,m8,i,male,0,-2,-1,-4
14,m2,o,male,0,-3,-1,-3
14,m5,i,male,1,-2,-1,-4
14,f8,o,female,1,-1,-1,-4
14,m8,a,male,1,-1,-1,-3
14,f8,a,female,0,-1,-1,-4
14,f6,o,female,0,-2,-1,-2
14,f1,a,female,1,-2,-2,-3
14,f8,i,female,1,-1,0,-2
14,f4,o,female,0,-1,-1,-2
14,f5,o,female,0,-2,-2,-4
14,m1,o,male,1,-1,0,-4
14,m4,a,male,0,-2,0,-3
14,f4,i,female,1,-2,0,-3
14,m1,a,male,1,-1,-2,-4
14,f1,o,female,0,-3,-2,-4
14,m1,i,male,0,-1,-1,-3
14,f4,a,female,1,-1,-1,-2
14,f5,a,female,1,-3,-2,-4
14,m5,a,male,0,-1,-1,-3
14,f6,a,female,1,-1,-1,-2
14,f6,i,female,0,-1,0,-2
14,f1,i,female,1,-1,-1,-4
14,m2,i,male,1,-1,0,-3
14,m2,a,male,0,-1,-1,-3
14,f5,i,female,0,-1,-2,-4
14,m4,o,male,2,-1,0,-4
14,m8,o,male,-2,-1,-1,-3
14,m5,o,male,0,-2,-2,-4
15,m2,a,male,-2,-2,3,-1
15,m4,a,male,-2,-1,-1,-4
15,f1,i,female,-2,-3,-1,-4
15,m1,i,male,-1,0,1,-4
15,m5,a,male,-2,-2,0,-4
15,m8,i,male,-2,-1,0,-3
15,m5,o,male,0,-2,-2,-4
15,f1,o,female,0,-3,0,-3
15,m8,a,male,-2,-2,0,-3
15,f6,i,female,-2,-1,-1,-1
15,m1,o,male,-2,-2,-2,-4
15,m2,o,male,-1,-1,0,-4
15,f5,i,female,0,0,0,0
15,f8,a,female,-2,-1,-1,-3
15,f1,a,female,-1,-2,0,-3
15,f8,i,female,-1,0,0,-1
15,m4,i,male,-1,0,-1,-2
15,f5,o,female,0,-3,0,-2
15,f4,i,female,0,-2,0,-2
15,f4,o,female,-1,-1,3,-2
15,m2,i,male,0,-3,0,-3
15,f8,o,female,-2,-1,-2,-2
15,f4,a,female,-2,0,2,-2
15,m4,o,male,-2,-2,0,-2
15,f6,o,female,-1,-1,0,-1
15,f5,a,female,0,-3,0,-2
15,m1,a,male,-1,-2,3,-3
15,m5,i,male,-2,-3,0,-3
15,f6,a,female,0,-4,1,-2
15,m8,o,male,0,-1,-1,-2
16,m5,o,male,1,-1,3,3
16,m8,i,male,-2,-2,-2,0
16,f8,o,female,-1,1,-4,-3
16,m4,o,male,-4,0,-4,-4
16,f6,o,female,0,0,0,0
16,f5,i,female,2,-4,0,-1
16,m8,o,male,-2,1,-2,-3
16,f6,i,female,1,0,-1,1
16,m8,a,male,-1,0,-1,-1
16,m5,a,male,1,-2,0,1
16,f4,i,female,0,-2,-2,-1
16,m4,i,male,-2,-1,-4,-4
16,m1,o,male,-1,-1,-4,-4
16,f5,o,female,0,-4,0,-2
16,m2,o,male,-3,-3,-2,-4
16,f1,i,female,0,0,1,2
16,m5,i,male,-1,-4,-4,-4
16,f1,a,female,0,-2,-2,-2
16,m4,a,male,-1,-1,-3,-3
16,f8,a,female,-1,-2,-4,-4
16,m1,a,male,-1,0,-2,-3
16,f6,a,female,-1,-4,-4,-4
16,m2,i,male,-1,-3,-2,-4
16,f4,a,female,0,-1,-1,-3
16,f8,i,female,0,0,0,0
16,m1,i,male,0,0,-1,-1
16,m2,a,male,-2,-4,0,-1
16,f4,o,female,-1,-1,-2,-3
16,f1,o,female,0,-1,0,0
16,f5,a,female,0,-4,-2,-2
17,f8,i,female,1,-1,2,-2
17,f5,i,female,1,0,-1,-2
17,m4,o,male,-1,-2,-2,-4
17,m4,a,male,-2,-2,1,-2
17,f6,i,female,0,-1,0,-2
17,f8,a,female,0,-3,1,-3
17,f4,o,female,-2,-1,-1,-2
17,m8,a,male,-1,-2,-1,-3
17,f5,a,female,0,-1,0,-2
17,m2,o,male,-2,-2,-1,-3
17,f1,o,female,0,-2,1,-2
17,m2,i,male,-1,-2,0,-3
17,m1,i,male,-1,-2,0,-2
17,f6,a,female,0,-3,0,-1
17,m2,a,male,0,-1,0,-1
17,f6,o,female,-1,-1,0,-1
17,f1,a,female,-1,-2,-1,-2
17,m1,a,male,0,-1,2,-4
17,m5,a,male,2,2,0,-1
17,m5,i,male,-4,-1,-2,-2
17,m8,i,male,-2,-1,0,-2
17,m5,o,male,0,2,0,-1
17,m4,i,male,0,1,-2,-3
17,m8,o,male,-2,-1,0,-1
17,f1,i,female,-2,-2,-2,-2
17,f8,o,female,-1,1,-1,-3
17,f5,o,female,-2,-2,0,-1
17,f4,i,female,0,-2,1,-2
17,m1,o,male,2,0,1,-4
17,f4,a,female,-2,-1,0,-2
18,f5,o,female,-1,-3,2,1
18,m4,a,male,2,-1,-1,-1
18,f1,a,female,1,0,-1,-2
18,f1,i,female,0,-1,0,-1
18,f1,o,female,0,-1,0,0
18,m8,i,male,-2,0,-2,-1
18,m2,a,male,-1,0,1,1
18,m1,o,male,1,-1,-2,-4
18,f5,a,female,1,-2,-2,-2
18,m5,o,male,-1,-3,1,2
18,f8,a,female,1,-1,-1,-4
18,f6,o,female,0,1,0,1
18,f6,a,female,0,-1,-2,-4
18,m1,i,male,-1,-1,-2,-2
18,f8,o,female,-1,-1,1,-3
18,f4,a,female,0,-1,-1,-1
18,m5,i,male,-2,-3,-1,-3
18,m5,a,male,-1,-3,-2,-3
18,m2,o,male,-2,-2,-2,-3
18,f5,i,female,3,2,0,1
18,m8,a,male,1,-2,0,-2
18,f6,i,female,-1,1,3,1
18,f8,i,female,-1,-1,-1,-1
18,m1,a,male,-1,-2,-2,-2
18,m2,i,male,1,0,0,1
18,m4,i,male,-1,-2,-1,-3
18,f4,i,female,0,-1,-3,-2
18,m8,o,male,0,1,1,1
18,f4,o,female,0,-1,-1,-1
18,m4,o,male,-1,-4,-1,-4
19,f1,i,female,-2,-2,3,1
19,m4,i,male,-2,0,-2,-1
19,f8,i,female,-1,1,-3,1
19,f6,o,female,-1,-1,-1,0
19,f1,o,female,-2,-1,-2,-1
19,m1,i,male,-2,-2,-2,-1
19,f4,i,female,-1,0,-2,-1
19,f4,a,female,1,-1,1,-1
19,m8,o,male,-1,-1,-1,1
19,f8,a,female,-2,-2,-3,1
19,m5,a,male,-2,-2,-2,0
19,m1,o,male,-2,-1,-2,-1
19,f6,a,female,2,0,2,-1
19,f8,o,female,-1,0,-2,-1
19,m5,i,male,-3,-1,-3,-3
19,m4,a,male,-2,0,-2,1
19,f6,i,female,-3,0,-3,-1
19,m4,o,male,-3,-1,-3,-2
19,f1,a,female,-2,-1,-3,-1
19,f4,o,female,1,0,2,1
19,f5,a,female,-2,-1,-3,-1
19,f5,i,female,-2,-2,-2,-2
19,f5,o,female,-1,-1,-2,-2
19,m5,o,male,-2,-1,-2,-1
19,m2,a,male,2,0,2,1
19,m1,a,male,-3,-1,-3,-1
19,m2,o,male,-2,0,-3,-2
19,m8,a,male,-2,-1,-2,-1
19,m2,i,male,-2,-1,-2,-2
19,m8,i,male,-2,-1,-2,-2
20,m8,a,male,1,-2,-3,0
20,f8,o,female,1,-1,-1,-1
20,f6,a,female,1,-2,1,-1
20,m8,o,male,-1,-1,-1,-3
20,m4,o,male,1,-1,2,1
20,f5,i,female,-1,-1,0,-1
20,m2,i,male,-1,-2,-1,-1
20,m4,i,male,-1,-1,-2,-1
20,f1,o,female,1,-2,-3,-2
20,m8,i,male,-1,-1,-2,-2
20,m1,a,male,0,-1,-2,-3
20,m2,a,male,-1,-2,-1,-1
20,m4,a,male,0,-2,-2,-1
20,f8,a,female,-1,-2,-2,-1
20,f4,o,female,-1,-2,-3,-1
20,m2,o,male,-1,-3,-1,-2
20,f6,i,female,0,0,-1,0
20,f5,o,female,0,-1,0,0
20,f4,i,female,-1,-1,-1,-1
20,f1,a,female,0,-2,-2,-1
20,m5,i,male,-1,-2,-1,-2
20,m5,o,male,-1,-2,-1,-1
20,f5,a,female,1,-1,-2,0
20,f8,i,female,-1,0,0,0
20,m1,i,male,1,-1,-1,-1
20,m5,a,male,-1,-2,-2,-2
20,f1,i,female,0,-1,-2,-1
20,f6,o,female,0,-1,2,0
20,m1,o,male,-1,-2,-2,-1
20,f4,a,female,0,-2,-1,-1
21,m1,a,male,2,-2,-2,-1
21,f4,a,female,1,1,1,0
21,f8,i,female,2,1,0,1
21,m8,i,male,1,-1,-2,-1
21,f1,a,female,1,-2,-2,-2
21,f5,o,female,1,-2,-2,-1
21,m5,a,male,2,-2,-2,-1
21,f5,i,female,0,0,-2,0
21,f4,i,female,1,1,-2,-1
21,m8,o,male,1,0,-2,-1
21,f6,i,female,-1,1,-2,-1
21,m2,a,male,-1,-1,-2,-1
21,m2,i,male,-1,1,-2,-2
21,m4,i,male,1,2,-2,-1
21,f1,o,female,-1,-2,-2,-1
21,m5,i,male,2,-1,-1,-1
21,f1,i,female,-2,-1,-2,-1
21,m4,a,male,-1,-1,-2,0
21,f8,a,female,1,1,-2,-1
21,m1,i,male,1,-1,-1,0
21,m4,o,male,-1,-1,-3,-1
21,f4,o,female,1,-2,-2,-1
21,m5,o,male,1,-1,-2,-1
21,f5,a,female,0,0,-2,-1
21,m8,a,male,1,-1,-2,0
21,f8,o,female,1,-2,-2,-1
21,f6,a,female,1,-1,-1,-1
21,m1,o,male,1,-2,-2,-1
21,m2,o,male,1,0,-2,-1
21,f6,o,female,0,1,1,0
22,f1,i,female,3,2,-4,-3
22,m5,i,male,3,-2,-4,-2
22,m2,o,male,2,2,-3,-2
22,m8,a,male,-2,-2,-3,-3
22,m5,a,male,2,-2,-3,-3
22,f6,i,female,-2,-3,-3,-3
22,f6,a,female,1,1,2,2
22,f6,o,female,-3,-3,-3,-3
22,m4,a,male,-1,2,-2,-3
22,m4,o,male,-2,-2,-3,-3
22,m4,i,male,2,3,-2,-2
22,m8,o,male,2,-2,-3,-3
22,m1,a,male,-2,-2,-3,-3
22,f5,o,female,2,2,-3,-3
22,f8,i,female,2,3,-3,-3
22,f1,a,female,2,2,-3,-3
22,f4,o,female,-3,-3,-2,1
22,f5,i,female,2,2,-3,-3
22,m8,i,male,-3,-3,-3,2
22,f5,a,female,-2,-3,-3,2
22,f8,a,female,-3,-2,-2,2
22,f8,o,female,2,2,-3,-3
22,m5,o,male,2,-3,-4,-3
22,f1,o,female,3,-2,-3,-3
22,m1,i,male,-3,-3,-2,-3
22,m2,i,male,3,-2,-2,-3
22,f4,a,female,-2,2,-2,-3
22,m1,o,male,-3,3,-2,-3
22,f4,i,female,3,-2,-2,-2
22,m2,a,male,3,-2,-3,-3
23,m2,o,male,2,0,-3,-3
23,f1,o,female,2,1,-1,-2
23,f1,a,female,1,-2,-3,-3
23,m1,a,male,3,-2,-2,-3
23,m8,a,male,2,-4,-3,-3
23,f5,a,female,2,-3,-2,-2
23,f6,o,female,1,-4,-3,-3
23,f6,a,female,2,-2,-3,-3
23,m5,o,male,2,-3,-3,-3
23,m8,o,male,-1,-4,-3,-3
23,f4,o,female,-2,2,2,2
23,m1,o,male,-2,-3,-3,-4
23,f6,i,female,0,-3,-3,-3
23,f5,i,female,1,-3,-3,-3
23,f8,i,female,1,2,3,1
23,f4,i,female,1,0,-3,-1
23,f8,o,female,1,-1,0,-2
23,m4,a,male,1,-1,-3,-1
23,m4,i,male,1,-3,-3,-2
23,m8,i,male,1,-2,-2,-2
23,m1,i,male,1,-2,-3,-3
23,m4,o,male,1,0,-3,-3
23,f8,a,female,0,-1,-3,-2
23,m5,i,male,1,-1,-2,-2
23,f5,o,female,-2,2,-2,-3
23,f1,i,female,0,0,-2,-1
23,f4,a,female,1,0,-2,-1
23,m2,a,male,1,-2,-2,-2
23,m2,i,male,0,0,0,-1
23,m5,a,male,0,-3,-3,-3
24,m1,i,male,-1,-2,-3,2
24,m2,i,male,-4,-3,-3,-2
24,f1,a,female,-2,-3,-4,-3
24,f5,o,female,0,-3,-4,-3
24,m4,o,male,-1,-3,-3,-4
