ID,SID,Gender,Vowel,Condition,Rating
10,f6,female,i,harmonic,-30
10,m4,male,i,harmonic,-91
10,m1,male,i,harmonic,-28
10,f6,female,a,harmonic,-30
10,m8,male,o,harmonic,-30
10,m5,male,i,harmonic,-71
10,m2,male,a,harmonic,-30
10,m4,male,o,harmonic,-70
10,f1,female,a,harmonic,-30
10,m1,male,o,harmonic,-50
11,f1,female,o,harmonic,-43
11,f8,female,o,harmonic,-25
11,m4,male,o,harmonic,-9
11,m5,male,i,harmonic,-6
11,m8,male,i,harmonic,0
11,m2,male,i,harmonic,-3
11,m4,male,a,harmonic,18
11,m2,male,o,harmonic,0
11,f8,female,i,harmonic,0
11,m1,male,o,harmonic,-11
11,m1,male,i,harmonic,-20
11,m8,male,o,harmonic,0
11,f8,female,a,harmonic,0
11,f4,female,i,harmonic,-11
11,f1,female,a,harmonic,-38
11,f5,female,o,harmonic,0
11,m5,male,o,harmonic,-10
11,f4,female,o,harmonic,-9
11,f5,female,i,harmonic,-8
11,f1,female,i,harmonic,0
11,m5,male,a,harmonic,0
11,f6,female,o,harmonic,0
11,f6,female,a,harmonic,0
11,f4,female,a,harmonic,-14
11,m8,male,a,harmonic,-3
11,f6,female,i,harmonic,0
11,f5,female,a,harmonic,0
11,m2,male,a,harmonic,0
11,m1,male,a,harmonic,-21
11,m4,male,i,harmonic,0
12,f1,female,o,harmonic,-44
12,f6,female,a,harmonic,-6
12,m5,male,a,harmonic,-15
12,f1,female,i,harmonic,-62
12,f4,female,o,harmonic,-42
12,m4,male,i,harmonic,0
12,m5,male,i,harmonic,-39
12,m2,male,i,harmonic,-56
12,m8,male,a,harmonic,-44
12,m8,male,o,harmonic,40
12,f5,female,a,harmonic,-19
12,m4,male,a,harmonic,-46
12,f1,female,a,harmonic,-47
12,f6,female,o,harmonic,-32
12,m1,male,i,harmonic,-38
12,f8,female,a,harmonic,-9
12,m4,male,o,harmonic,-4
12,f5,female,o,harmonic,3
12,m2,male,o,harmonic,-32
12,m1,male,a,harmonic,3
12,f8,female,i,harmonic,6
12,f4,female,a,harmonic,-33
12,m2,male,a,harmonic,-22
12,f8,female,o,harmonic,-54
12,m5,male,o,harmonic,4
12,f4,female,i,harmonic,-64
12,f5,female,i,harmonic,-1
12,m8,male,i,harmonic,-55
12,m1,male,o,harmonic,-24
12,f6,female,i,harmonic,3
13,m5,male,a,harmonic,15
13,m8,male,o,harmonic,5
13,f4,female,i,harmonic,-20
13,m4,male,a,harmonic,11
13,m1,male,a,harmonic,15
13,m2,male,a,harmonic,24
13,m8,male,i,harmonic,1
13,f8,female,o,harmonic,-31
13,f1,female,o,harmonic,-15
13,m8,male,a,harmonic,11
13,m2,male,i,harmonic,-15
13,m4,male,o,harmonic,-35
13,m2,male,o,harmonic,-13
13,f5,female,a,harmonic,14
