ID,SID,Gender,Vowel,Condition,Rating
4,f4,female,a,anchor,-57
4,m1,male,a,anchor,-47
4,m5,male,o,anchor,-71
4,f5,female,i,anchor,-81
4,m2,male,o,anchor,-52
4,f6,female,o,anchor,-81
4,m4,male,a,anchor,-78
4,f5,female,o,anchor,-79
4,f1,female,i,anchor,-84
4,m4,male,o,anchor,-78
4,f8,female,i,anchor,-77
4,m2,male,a,anchor,-71
5,m4,male,a,anchor,-50
5,m5,male,o,anchor,-3
5,f8,female,o,anchor,-37
5,f6,female,i,anchor,-79
5,f4,female,a,anchor,-41
5,f5,female,a,anchor,-71
5,m1,male,a,anchor,-57
5,m4,male,o,anchor,-37
5,m2,male,i,anchor,-38
5,f1,female,i,anchor,-60
5,f6,female,a,anchor,-79
5,m8,male,o,anchor,-63
5,m8,male,a,anchor,-29
5,m1,male,i,anchor,-39
5,f8,female,a,anchor,-60
5,f6,female,o,anchor,-34
5,m4,male,i,anchor,-31
5,m5,male,i,anchor,-70
5,m2,male,a,anchor,-41
5,f5,female,i,anchor,-67
5,m1,male,o,anchor,-30
5,m5,male,a,anchor,-46
5,f4,female,o,anchor,-53
5,f8,female,i,anchor,-57
5,m8,male,i,anchor,-45
5,f4,female,i,anchor,-49
5,m2,male,o,anchor,-9
5,f5,female,o,anchor,-32
5,f1,female,a,anchor,-46
5,f1,female,o,anchor,-45
6,m8,male,o,anchor,0
6,m5,male,i,anchor,-13
6,m4,male,o,anchor,-20
6,m5,male,o,anchor,-30
6,m1,male,a,anchor,-19
6,m5,male,a,anchor,-31
6,m2,male,a,anchor,-36
6,f4,female,o,anchor,-8
6,f8,female,a,anchor,3
6,f8,female,i,anchor,38
6,f4,female,i,anchor,-18
6,f5,female,i,anchor,13
6,m2,male,i,anchor,-25
6,f6,female,a,anchor,-12
6,m4,male,a,anchor,-14
6,m2,male,o,anchor,9
6,f6,female,i,anchor,-38
6,f8,female,o,anchor,-13
6,m1,male,i,anchor,-9
6,f6,female,o,anchor,9
6,m8,male,a,anchor,-8
6,f5,female,o,anchor,13
6,f5,female,a,anchor,1
6,f1,female,o,anchor,-32
6,m4,male,i,anchor,-18
6,f1,female,i,anchor,-36
6,f4,female,a,anchor,-22
6,m1,male,o,anchor,-10
6,f1,female,a,anchor,-22
6,m8,male,i,anchor,-21
7,m5,male,i,anchor,-44
7,m1,male,o,anchor,-51
7,m8,male,o,anchor,-71
7,f4,female,i,anchor,-37
7,m2,male,i,anchor,-52
7,f4,female,a,anchor,-73
7,f6,female,o,anchor,-74
7,f4,female,o,anchor,-72
7,m8,male,i,anchor,-46
7,m1,male,a,anchor,-57
7,f1,female,a,anchor,-70
7,m2,male,a,anchor,-52
7,f1,female,i,anchor,-84
7,f8,female,a,anchor,-37
7,m5,male,o,anchor,-73
7,m8,male,a,anchor,-70
7,f8,female,i,anchor,-70
7,m1,male,i,anchor,-88
7,f6,female,i,anchor,-64
7,f5,female,o,anchor,-87
7,f6,female,a,anchor,-87
7,f1,female,o,anchor,-87
7,m4,male,a,anchor,-82
7,f8,female,o,anchor,-70
7,f5,female,i,anchor,-88
7,m2,male,o,anchor,-44
7,f5,female,a,anchor,-90
7,m5,male,a,anchor,-86
